assignment_id,team_id,training_id,staff_id,date_ID,end_date,course_ID,trng_pd,course_name,start_time,end_time,duration,staff_id
,,,,1/6/16,,37,1,Residence Hall Check-in,9:00:00 AM,4:40:00 PM,6h40m,"RC,SSS"
,,,,1/6/16,,38,1,Member Support Office Check-In,9:00:00 AM,5:00:00 PM,7h,MSS
,,,,2/15/16,,52,1,Prepare for CM Arrival Day,2:00:00 PM,5:00:00 PM,3h00m,DRDO
,,,,2/11/16,,78,2,Ethics and EEO Training,3:45:00 PM,5:15:00 PM,1h30m,OUT
,,,,1/6/16,,41,1,Unit Welcome,5:05:00 PM,5:30:00 PM,25min,AllUL
,,,,2/12/15,,75,2,Orientation to CCC Presentation,5:30:00 PM,5:50:00 PM,20min,DRDO
,,,,2/9/16,,65,2,Dinner,5:45:00 PM,6:40:00 PM,55min,
,,,,2/9/16,,69,2,Corps Member Arrival Day,9:00:00 AM,7:00:00 PM,10h00m,AllStaff
,,,,1/6/16,,45,1,Residence Hall Orientation,6:30:00 PM,8:00:00 PM,1h30m,"RC,SSS"
,,,,2/9/16,,70,2,Corps Welcome,7:30:00 PM,8:30:00 PM,1h00m,AllStaff
,,,,,,57,2,Community Meeting,,,,STL
,,,,,,82,3,Corps Development Training,,,,
,,,,,,82,3,Corps Development Training,,,,
,,,,,,82,3,Corps Development Training,,,,
,,,,,,82,3,Corps Development Training,,,,
,,,,,,82,3,Corps Development Training,,,,
,,,,,,82,3,Corps Development Training,,,,
,,,,,,82,3,Corps Development Training,,,,
,,,,,,82,3,Corps Development Training,,,,
,,,,2/13/16,,64,2,Exploring the Community,,,,APDT
,,,,2/9/16,,73,2,Floor Meetings,8:45:00 PM,,,AllUL
,,,,,,,2,Floor Meetings,,,,
,,,,,,79,3,ISP Training,,,,
,,,,,,79,3,ISP Training,,,,
,,,,,,79,3,ISP Training,,,,
,,,,,,79,3,ISP Training,,,,
,,,,,,79,3,ISP Training,,,,
,,,,,,66,3,Portfolio Training,,,,AllUL
,,,,,,67,3,Project Process & Training Overview,,,,DRDP
,,,,2/15/16,,81,3,Ropes Course,,,,
,,,,,,81,3,Ropes Course,,,,
,,,,,,81,3,Ropes Course,,,,
,,,,,,81,3,Ropes Course,,,,
,,,,,,81,3,Ropes Course,,,,
,,,,,,81,3,Ropes Course,,,,
,,,,,,81,3,Ropes Course,,,,
,,,,,,81,3,Ropes Course,,,,
,,,,,,58,3,Unit Meeting,,,,UL1
,,,,3/7/16,,58,3,Unit Meeting,,,,UL3
,,,,,,76,3,Project Debrief,,,,
,,,,,,76,3,Project Debrief,,,,
,,,,,,76,3,Project Debrief,,,,
,,,,,,76,3,Project Debrief,,,,
,,,,,,76,3,Project Debrief,,,,
,,,,,,76,3,Project Debrief,,,,
,,,,,,76,3,Project Debrief,,,,
,,,,,,76,4,Project Debrief,,,,
,,,,,,76,4,Project Debrief,,,,
,,,,,,76,4,Project Debrief,,,,
,,,,,,76,4,Project Debrief,,,,
,,,,,,76,4,Project Debrief,,,,
,,,,,,76,4,Project Debrief,,,,
,,,,,,76,4,Project Debrief,,,,
,,,,,,76,5,Project Debrief,,,,
,,,,,,76,5,Project Debrief,,,,
,,,,,,76,5,Project Debrief,,,,
,,,,,,76,5,Project Debrief,,,,
,,,,,,76,5,Project Debrief,,,,
,,,,,,76,5,Project Debrief,,,,
,,,,,,76,5,Project Debrief,,,,
,,,,,,76,,Project Debrief,,,,
,,,,,,76,,Project Debrief,,,,
,,,,,,76,,Project Debrief,,,,
,,,,,,76,,Project Debrief,,,,
,,,,,,76,,Project Debrief,,,,
,,,,,,76,,Project Debrief,,,,
,,,,,,76,,Project Debrief,,,,
,,,,,,77,,Project Briefing,,,,
,,,,,,77,,Project Briefing,,,,
,,,,,,77,,Project Briefing,,,,
,,,,,,77,,Project Briefing,,,,
,,,,,,77,,Project Briefing,,,,
,,,,,,77,,Project Briefing,,,,
,,,,,,77,,Project Briefing,,,,
,,,,,,77,,Project Briefing,,,,
,,,,,,77,,Project Briefing,,,,
,,,,,,77,,Project Briefing,,,,
,,,,,,77,,Project Briefing,,,,
,,,,,,77,,Project Briefing,,,,
,,,,,,77,,Project Briefing,,,,
,,,,,,77,,Project Briefing,,,,
,,,,,,77,,Project Briefing,,,,
,,,,,,77,,Project Briefing,,,,
,,,,,,77,,Project Briefing,,,,
,,,,,,77,,Project Briefing,,,,
,,,,,,77,,Project Briefing,,,,
,,,,,,77,,Project Briefing,,,,
,,,,,,77,,Project Briefing,,,,
